Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Streebog-256,Streebog-512,Description
Application,,,,,actions,checkout,v4,,,,,,pkg:github/actions/checkout@v4,,,,,,,,,,,,,,,,,,,,,,,,,
Application,,,,,actions,setup-node,v3,,,,,,pkg:github/actions/setup-node@v3,,,,,,,,,,,,,,,,,,,,,,,,,
